IDfg,Season,Name,hand
18,2016,Neftali Feliz,R
225,2015,Mark Buehrle,L
375,2015,Bartolo Colon,R
375,2016,Bartolo Colon,R
375,2017,Bartolo Colon,R
375,2018,Bartolo Colon,R
404,2015,CC Sabathia,L
404,2016,CC Sabathia,L
404,2017,CC Sabathia,L
404,2018,CC Sabathia,L
404,2019,CC Sabathia,L
494,2015,Fernando Rodney,R
494,2016,Fernando Rodney,R
494,2017,Fernando Rodney,R
494,2018,Fernando Rodney,R
512,2015,A.J. Burnett,R
521,2016,Jason Grilli,R
739,2015,Kyle Lohse,R
921,2015,Tim Hudson,R
978,2017,Bronson Arroyo,R
1011,2015,Ryan Vogelsong,R
1011,2016,Ryan Vogelsong,R
1051,2015,Jake Peavy,R
1051,2016,Jake Peavy,R
1118,2015,Marco Estrada,R
1118,2016,Marco Estrada,R
1118,2017,Marco Estrada,R
1118,2018,Marco Estrada,R
1137,2015,Jerome Williams,R
1157,2015,Tommy Hunter,R
1157,2017,Tommy Hunter,R
1157,2018,Tommy Hunter,R
1245,2015,R.A. Dickey,R
1245,2016,R.A. Dickey,R
1245,2017,R.A. Dickey,R
1246,2016,Matt Bush,R
1246,2017,Matt Bush,R
1247,2017,Adam Ottavino,R
1247,2018,Adam Ottavino,R
1247,2019,Adam Ottavino,R
1259,2015,Colby Lewis,R
1259,2016,Colby Lewis,R
1345,2016,Blake Wood,R
1345,2017,Blake Wood,R
1437,2015,Joaquin Benoit,R
1437,2017,Joaquin Benoit,R
1451,2015,Aaron Harang,R
1478,2015,Felix Doubront,L
1507,2015,John Lackey,R
1507,2016,John Lackey,R
1507,2017,John Lackey,R
1581,2017,Sean Doolittle,L
1581,2019,Sean Doolittle,L
1642,2015,Francisco Rodriguez,R
1642,2016,Francisco Rodriguez,R
1757,2015,Dan Haren,R
1797,2015,Neal Cotts,L
1837,2017,Matt Belisle,R
1841,2015,Edwin Jackson,R
1841,2016,Edwin Jackson,R
1841,2017,Edwin Jackson,R
1841,2018,Edwin Jackson,R
1841,2019,Edwin Jackson,R
1852,2015,Ryan Madson,R
1852,2016,Ryan Madson,R
1852,2017,Ryan Madson,R
1852,2018,Ryan Madson,R
1890,2015,Matt Moore,L
1890,2016,Matt Moore,L
1890,2017,Matt Moore,L
1890,2018,Matt Moore,L
1943,2015,Zack Greinke,R
1943,2016,Zack Greinke,R
1943,2017,Zack Greinke,R
1943,2018,Zack Greinke,R
1943,2019,Zack Greinke,R
1943,2020,Zack Greinke,R
1994,2015,Ivan Nova,R
1994,2016,Ivan Nova,R
1994,2017,Ivan Nova,R
1994,2018,Ivan Nova,R
1994,2019,Ivan Nova,R
2036,2015,Clayton Kershaw,L
2036,2016,Clayton Kershaw,L
2036,2017,Clayton Kershaw,L
2036,2018,Clayton Kershaw,L
2036,2019,Clayton Kershaw,L
2036,2020,Clayton Kershaw,L
2038,2015,Justin Masterson,R
2047,2015,Jorge De La Rosa,L
2047,2016,Jorge De La Rosa,L
2047,2017,Jorge De La Rosa,L
2047,2018,Jorge De La Rosa,L
2072,2015,Jeremy Guthrie,R
